頻道,訊息ID,發送者,匹配檔案,票數,URL
92,1472206772264636541,Pokétwo#8236,921.png,107,https://cdn.discordapp.com/attachments/1468632828152385635/1472206772797440101/pokemon.jpg?ex=6a7a6ba6&is=6a791a26&hm=fbfd2218394127cf208861b9cf76d0d16ef63bd773bc97a29d09102e7b3132dd&
257,1472265177561960570,Pokétwo#8236,709.png,33,https://cdn.discordapp.com/attachments/1468632831902355734/1472265177758957569/pokemon.jpg?ex=6a7aa20b&is=6a79508b&hm=7f8a993975fdaae53cf350dcc2fbb50f644408149e19212f76094df489da46c5&
335,1472372172935921886,Pokétwo#8236,360.png,80,https://cdn.discordapp.com/attachments/1468632833294860447/1472372173392842844/pokemon.jpg?ex=6a7b05b1&is=6a79b431&hm=924cb694f197d036a934d9b419c7c6011def16277b8d35478053cdd0767c76a9&
223,1472470530857762950,Pokétwo#8236,1.png,75,https://cdn.discordapp.com/attachments/1468632830799122605/1472470530928934967/pokemon.jpg?ex=6a7ab88b&is=6a79670b&hm=b346b92d195d7e4815e1cef38d85cd2db0812254d5cb3aca9d82f95854ddb21a&
462,1472040436645498911,Pokétwo#8236,540.png,104,https://cdn.discordapp.com/attachments/1468632835303936115/1472040437501132831/pokemon.jpg?ex=6a7a797d&is=6a7927fd&hm=3385e6e77aeefbb81fb2a55cfe743645d5e3a3827f5da4d5cdfcf5e4c05ca96b&
328,1472299544522915880,Pokétwo#8236,50.png,110,https://cdn.discordapp.com/attachments/1468632833068110126/1472299544585834612/pokemon.jpg?ex=6a7ac20d&is=6a79708d&hm=0e510d6e1cd5d791c9c9f9c3d47f7cc4fa5947a988a50db2c6b5edbe181500e6&
172,1472386374115004517,Pokétwo#8236,559.png,62,https://cdn.discordapp.com/attachments/1468632829897478161/1472386374173982872/pokemon.jpg?ex=6a7a6a2b&is=6a7918ab&hm=05224e53ec09c9bf8890ab6334ba241dd2e4fa6d4c7474aabc8b5b340ddc6c56&
68,1472474980783751312,Pokétwo#8236,509.png,77,https://cdn.discordapp.com/attachments/1468632827678560285/1472474980951392414/pokemon.jpg?ex=6a7abcb0&is=6a796b30&hm=6dbf96c51720b3fbc4479ee5d221e61c684098610944ae63b25e776384e2e00d&
353,1472468556603195456,Pokétwo#8236,511.png,21,https://cdn.discordapp.com/attachments/1468632833634340880/1472468556867309791/pokemon.jpg?ex=6a7ab6b5&is=6a796535&hm=50d64cc2fb1f028c14cab0c793d9435d7e8fa8e374d538b9bda7711fb1127c29&
98,1472337300712325192,Pokétwo#8236,580.png,74,https://cdn.discordapp.com/attachments/1468632828362358950/1472337300816920586/pokemon.jpg?ex=6a7ae537&is=6a7993b7&hm=4a96beed6fbf9b340f6ad12a814a525e51a85011205346061266def240ae838f&
212,1472339497327919177,Pokétwo#8236,516.png,54,https://cdn.discordapp.com/attachments/1468632830627025124/1472339497730707496/pokemon.jpg?ex=6a7ae743&is=6a7995c3&hm=9a744d6e0fa99096ddd34e853ea1be2c42cc0ea9aeecbc04dec92fa00413be63&
184,1472322009798021314,Pokétwo#8236,239.png,29,https://cdn.discordapp.com/attachments/1468632830069182493/1472322010292944956/pokemon.jpg?ex=6a7ad6f9&is=6a798579&hm=8cbeb65cba1c597aeb9214c45f47d09df35d152343bedf723840f9a15ac05eea&
191,1472456837172559923,Pokétwo#8236,917.png,34,https://cdn.discordapp.com/attachments/1468632830262251617/1472456839097614346/pokemon.jpg?ex=6a7aabcb&is=6a795a4b&hm=376d425a51be7f3440bc5d83a8f64aa4d5372ce320d05b9d7de5595f14cad21f&
37,1472329934461468742,Pokétwo#8236,630.png,44,https://cdn.discordapp.com/attachments/1468632827095421059/1472329934578913463/pokemon.jpg?ex=6a7ade5a&is=6a798cda&hm=ad652d3fd4c8aa041438d9299561dcd59595aa4626fabfff14b41824f84b0400&
17,1472282311105056898,Pokétwo#8236,137.png,117,https://cdn.discordapp.com/attachments/1468632826495766801/1472282311184744548/pokemon.jpg?ex=6a7ab200&is=6a796080&hm=c102e4316a19fdb75861c82d89195691c9b4164818d3a8d5c1b96ead9534d5f6&
228,1472465879311712307,Pokétwo#8236,923.png,14,https://cdn.discordapp.com/attachments/1468632831021551630/1472465879403991092/pokemon.jpg?ex=6a7ab436&is=6a7962b6&hm=9d3c4c967d1644ed3e8d52725e2ec32b51e559acbc91d849d6fccef735b5c463&
261,1472345434843517038,Pokétwo#8236,67.png,47,https://cdn.discordapp.com/attachments/1468632832208277730/1472345435103559760/pokemon.jpg?ex=6a7aecca&is=6a799b4a&hm=3375be6b2da3fb927207c58ce76fb7e7c92dd0155a5c34065c653c1b9dfb9798&
53,1475759457504989188,Pokétwo#8236,20003.png,44,https://cdn.discordapp.com/attachments/1468632827406061799/1475759457878151321/pokemon.jpg?ex=6a7ad219&is=6a798099&hm=b2064b7a69768a8ea82128596709585ff74712b1338797672016b52571638235&
267,1472479428511662143,Pokétwo#8236,739.png,21,https://cdn.discordapp.com/attachments/1468632832208277736/1472479428562129078/pokemon.jpg?ex=6a7ac0d5&is=6a796f55&hm=f228209f1b92fd19ca699c9fb7396254fc92346f915fd6bc0de6f2644d33b77a&
72,1472424405492830346,Pokétwo#8236,63.png,35,https://cdn.discordapp.com/attachments/1468632827678560289/1472424405635305523/pokemon.jpg?ex=6a7a8d96&is=6a793c16&hm=f6a1c99cb741ce1d862b136e8d647a067c3cfdf6397f0ce135ede1794da1e50f&
422,1472461245977333896,Pokétwo#8236,81.png,66,https://cdn.discordapp.com/attachments/1468632834624454954/1472461246484971631/pokemon.jpg?ex=6a7aafe6&is=6a795e66&hm=34fd9d88f3ab8817b44330d79064592892242389ae6b243e061a1a1d304d18a8&
250,1472374389331984547,Pokétwo#8236,246.png,66,https://cdn.discordapp.com/attachments/1468632831742967917/1472374389717729310/pokemon.jpg?ex=6a7b07c1&is=6a79b641&hm=84ece46ed21748eb88bfd8b46afdd9a1d15d98c6bf16502180c747c2c3aa5aaf&
364,1472475944966033448,Pokétwo#8236,187.png,33,https://cdn.discordapp.com/attachments/1468632833752039521/1472475945309835361/pokemon.jpg?ex=6a7abd96&is=6a796c16&hm=b9f6df0226b2c39cc366cebf7c8bbaad694c34e3c717b679ed3ac913094b36b9&
313,1472301556123828460,Pokétwo#8236,41.png,11,https://cdn.discordapp.com/attachments/1468632832925765788/1472301556350058496/pokemon.jpg?ex=6a7ac3ed&is=6a79726d&hm=ac12b921ef49f6ac0a53cee3eb1d9286468fc1af3f9d0a00ba081481cb4f2670&
281,1472303289101062448,Pokétwo#8236,847.png,57,https://cdn.discordapp.com/attachments/1468632832481169468/1472303289797185718/pokemon.jpg?ex=6a7ac58a&is=6a79740a&hm=4caf278191bad32cfff39a67d4fbc123352542985bcacf26dd4d8dcecec007fd&
256,1472329439185469636,Pokétwo#8236,183.png,58,https://cdn.discordapp.com/attachments/1468632831902355733/1472329439609229332/pokemon.jpg?ex=6a7adde4&is=6a798c64&hm=374667047b18becc10e97bf91ade1ec90915272ee4c41190106da9475ef0aa17&
471,1472433766629900454,Pokétwo#8236,856.png,47,https://cdn.discordapp.com/attachments/1468632835458863180/1472433766688493689/pokemon.jpg?ex=6a7a964e&is=6a7944ce&hm=75260a394ec5a77d6e9678f4076b94b3c877ec76ee5d83c703ee0234680935fd&
449,1472323520972460218,Pokétwo#8236,63.png,48,https://cdn.discordapp.com/attachments/1468632835131965461/1472323521068925133/pokemon.jpg?ex=6a7ad861&is=6a7986e1&hm=68f62698e5f3bd11501c71b2f319869e0058c0527c836a36134f577000df516d&
274,1472174303943462923,Pokétwo#8236,371.png,112,https://cdn.discordapp.com/attachments/1468632832334364826/1472174304446775410/pokemon.jpg?ex=6a7af629&is=6a79a4a9&hm=798fdbe4746be28626dc63bcc5cf1661529bd59130662304f1456b5f0133a964&
